,sampletype,Blank,Blank,Control13Cglc,Control13Cglc,Control13Cglc,FASN,FASN,FASN,FADS2,FADS2,FADS2,SCD,SCD,SCD
Compound,Label,X20210713_inhib_blank01.mzXML,X20210713_inhib_blank02.mzXML,X20210713_inhib_s01_CONTROL_glc.mzXML,X20210713_inhib_s02_CONTROL_glc.mzXML,X20210713_inhib_s03_CONTROL_glc.mzXML,X20210713_inhib_s07_FASN.mzXML,X20210713_inhib_s08_FASN.mzXML,X20210713_inhib_s09_FASN.mzXML,X20210713_inhib_s13_FADS2.mzXML,X20210713_inhib_s14_FADS2.mzXML,X20210713_inhib_s15_FADS2.mzXML,X20210713_inhib_s19_SCD.mzXML,X20210713_inhib_s20_SCD.mzXML,X20210713_inhib_s21_SCD.mzXML
FA(14:0),0,132622414.1,150391076.7,384725876.2,415022363.4,408601464,376061509.9,509039501,556240892.9,197775107.4,458574950.5,472560421.2,429278085.5,433406707.4,398729561.2
FA(14:0),1,19250472.26,21598253.48,55088081.86,59578362.3,57868970.01,55646379.93,72463201.92,78172667.93,28412838.05,65727353.02,69181464.31,63767289.27,63299446.83,59874229
FA(14:0),2,1504433.596,1693840.087,12064919.44,13498756.08,13114033.58,12189792.97,16369056.68,17554489.01,8762427.196,21256641.19,23291669.45,50123331.32,38842428.51,34329957.35
FA(14:0),3,0,0,0,2521697.255,2538721.227,0,1925083.849,1917378.97,1619635.813,4105876.655,4749646.267,10009963.06,8309211.57,7254032.551
FA(14:0),4,0,0,13439837.27,15206128,15103709.45,442659.1606,0,0,11312581.17,27810250.22,31547032.68,71798483.48,58895886.95,52022147.2
FA(14:0),5,0,0,7927185.528,8914245.597,8614542.658,175928.9343,0,0,4824630.156,12180110.84,13324917.67,18408304.58,17163778.03,15000028.05
FA(14:0),6,0,0,48498343.39,54899706.46,53967473.6,665083.4214,864551.0393,964050.5596,34262892.33,82869978.54,92058986.94,114392138.4,109363590,97850881.58
FA(14:0),7,0,0,29571722.07,33069936.95,31873541.22,317009.8972,448651.9463,480814.281,15413486.48,36152952.6,39367255.66,30439844.11,32495356.99,29831122.58
FA(14:0),8,0,0,137542477.7,151912933.6,149416455.7,907545.0146,1172241.436,1304810.627,80019885.32,188902070.9,207023419.5,154717655.8,172074103.8,154565583.7
